total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
932.362101639,101.247039609,513.888099012,0,46.0930336215,113.312780494,477.323385451,462.957157088,5.66466996096,8.70155840191,2022-12-21 03:00:00
880.948670234,101.247039609,461.976587729,0,46.0930336215,113.312780494,496.296585125,473.246816635,5.66466996096,17.3850985289,2022-12-21 04:00:00
1067.71649879,101.247039609,539.242709303,0,100.150657288,148.969399434,472.357113091,457.991414266,5.66466996096,8.70102886398,2022-12-21 05:00:00
1087.76277356,101.770587508,543.409116255,0,100.150657288,149.894399434,697.535169867,665.989379463,14.1616749024,17.3841155012,2022-12-21 06:00:00
1313.31728196,103.6201298,540.34167032,0,176.471037341,302.612436532,547.477416696,510.451116104,28.3233498048,8.7029507872,2022-12-21 07:00:00
1427.347841,105.388596217,538.62880421,0,243.2593065,310.10971186,542.440247323,473.670770231,42.4850247072,26.2844523841,2022-12-21 08:00:00
1461.25258493,106.440951842,538.585579509,0,243.2593065,310.10971186,526.38577239,443.336644849,56.6466996096,26.4024279314,2022-12-21 09:00:00
1501.89818918,107.267700488,543.034886882,0,243.2593065,302.612436532,490.285634317,421.303110506,42.4850247072,26.4974991033,2022-12-21 10:00:00
1517.85286604,107.924001835,549.836459279,0,243.2593065,310.10971186,507.607994774,401.300330882,70.808374512,35.4992893802,2022-12-21 11:00:00
1516.6127317,108.360613182,555.578499838,0,243.2593065,310.10971186,497.777303071,391.40652575,70.808374512,35.5624028083,2022-12-21 12:00:00
1472.55333169,108.92321341,560.450274152,0,243.2593065,310.10971186,487.490337544,381.290981524,70.808374512,35.3909815081,2022-12-21 13:00:00
1507.06289222,109.59860156,562.749238755,0,243.2593065,302.612436532,455.113364649,362.911471267,56.6466996096,35.5551937725,2022-12-21 14:00:00
1498.21125627,110.366403237,551.394325988,0,243.2593065,302.612436532,421.338689739,343.358233262,42.4850247072,35.4954317696,2022-12-21 15:00:00
1504.99580866,111.051253851,549.384889261,0,243.2593065,302.612436532,421.433790718,329.356198519,56.6466996096,35.4308925894,2022-12-21 16:00:00
1526.61970858,111.340476644,559.816911259,0,243.2593065,310.10971186,440.275602072,328.845615839,84.9700494144,26.4599368188,2022-12-21 17:00:00
1541.0446807,111.255916426,562.162303738,0,243.2593065,310.10971186,451.105906593,348.65302419,84.9700494144,17.4828329892,2022-12-21 18:00:00
1264.71709384,101.247039609,559.166203037,0,166.938926447,199.110933808,457.491410754,355.093928547,84.9700494144,17.4274327931,2022-12-21 19:00:00
1256.09086614,101.247039609,557.030558155,0,166.938926447,191.61365848,426.742123914,361.373267118,56.6466996096,8.72215718653,2022-12-21 20:00:00
1124.56628509,101.247039609,554.407236783,0,100.150657288,124.558693486,476.242526858,402.167294912,56.6466996096,17.4285323367,2022-12-21 21:00:00
1069.72597718,101.247039609,551.537776161,0,100.150657288,124.558693486,476.028039269,416.155165277,42.4850247072,17.3878492849,2022-12-21 22:00:00
911.591872871,101.247039609,471.862512091,0,46.0930336215,124.558693486,481.702078924,444.676258059,28.3233498048,8.70247106001,2022-12-21 23:00:00
921.686757244,101.247039609,465.590066455,0,46.0930336215,124.558693486,485.871312807,463.008233104,14.1616749024,8.70140480058,2022-12-22 00:00:00
941.191270448,101.247039609,495.492650169,0,46.0930336215,113.312780494,480.590867419,466.224158836,5.66466996096,8.70203862165,2022-12-22 01:00:00
938.224608278,101.247039609,494.182653747,0,46.0930336215,113.312780494,488.632726317,474.265300252,5.66466996096,8.70275610322,2022-12-22 02:00:00
911.91316741,101.247039609,473.503033169,0,46.0930336215,113.312780494,508.541508266,485.491802473,5.66466996096,17.3850358325,2022-12-22 03:00:00
880.314207223,101.247039609,446.363823393,0,46.0930336215,113.312780494,511.910013145,497.543123991,5.66466996096,8.70221919309,2022-12-22 04:00:00
