datetime_str,Residual Demand,Dispatchable Generation,Thermal Generation,Nuclear Generation,Wind,PV,Total RE,Manual Load_Reduction(MLR),ILS Usage
,27662.98,26855.4,931.0,0.0,126.478,238.781,2077.72,0.0,0.0
,29556.58,28805.27,931.0,0.0,1.39,202.658,2077.72,0.0,0.0
,28262.167,27562.53,931.0,0.0,0.0,184.258,2077.72,0.0,0.0
,26470.452,25772.27,930.0,0.0,0.0,179.599,2077.72,0.0,0.0
,24661.252,23902.27,930.0,0.0,0.0,177.258,2077.72,0.0,0.0
,23164.513,22443.4,931.0,0.0,0.0,81.087,2077.72,0.0,0.0
,22067.228,21453.27,931.0,0.0,0.0,6.854,2077.72,0.0,0.0
,21369.536,20808.53,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20914.802,20431.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20807.118,20355.27,932.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20759.023,20326.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,20938.937,20531.4,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,21527.249,21105.27,931.0,0.0,0.0,0.0,2077.72,0.0,0.0
,22992.905,22571.4,932.0,0.0,4.333,0.0,2077.72,0.0,0.0
