datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-05-01 14:00:00,95,,,,GB,kings_college_nhs
2026-05-01 15:00:00,110,,,,GB,kings_college_nhs
2026-05-01 16:00:00,153,,,,GB,kings_college_nhs
2026-05-01 17:00:00,163,,,,GB,kings_college_nhs
2026-05-01 18:00:00,202,,,,GB,kings_college_nhs
2026-05-01 19:00:00,210,,,,GB,kings_college_nhs
2026-05-01 20:00:00,227,,,,GB,kings_college_nhs
2026-05-01 21:00:00,143,,,,GB,kings_college_nhs
2026-05-01 22:00:00,153,,,,GB,kings_college_nhs
2026-05-01 23:00:00,118,,,,GB,kings_college_nhs
2026-05-02 00:00:00,153,,,,GB,kings_college_nhs
2026-05-02 01:00:00,147,,,,GB,kings_college_nhs
2026-05-02 02:00:00,110,,,,GB,kings_college_nhs
2026-05-02 03:00:00,113,,,,GB,kings_college_nhs
2026-05-02 04:00:00,142,,,,GB,kings_college_nhs
2026-05-02 05:00:00,130,,,,GB,kings_college_nhs
2026-05-02 06:00:00,165,,,,GB,kings_college_nhs
2026-05-02 07:00:00,159,,,,GB,kings_college_nhs
2026-05-02 08:00:00,119,,,,GB,kings_college_nhs
2026-05-02 09:00:00,115,,,,GB,kings_college_nhs
2026-05-02 10:00:00,103,,,,GB,kings_college_nhs
2026-05-02 11:00:00,110,,,,GB,kings_college_nhs
2026-05-02 12:00:00,83,,,,GB,kings_college_nhs
2026-05-02 13:00:00,121,,,,GB,kings_college_nhs
2026-05-02 14:00:00,138,,,,GB,kings_college_nhs
2026-05-02 15:00:00,208,,,,GB,kings_college_nhs
2026-05-02 16:00:00,229,,,,GB,kings_college_nhs
2026-05-02 17:00:00,236,,,,GB,kings_college_nhs
2026-05-02 18:00:00,268,,,,GB,kings_college_nhs
2026-05-02 19:00:00,281,,,,GB,kings_college_nhs
2026-05-02 20:00:00,288,,,,GB,kings_college_nhs
2026-05-02 21:00:00,178,,,,GB,kings_college_nhs
2026-05-02 22:00:00,233,,,,GB,kings_college_nhs
2026-05-02 23:00:00,200,,,,GB,kings_college_nhs
2026-05-03 00:00:00,153,,,,GB,kings_college_nhs
2026-05-03 01:00:00,156,,,,GB,kings_college_nhs
2026-05-03 02:00:00,136,,,,GB,kings_college_nhs
2026-05-03 03:00:00,172,,,,GB,kings_college_nhs
2026-05-03 04:00:00,144,,,,GB,kings_college_nhs
2026-05-03 05:00:00,183,,,,GB,kings_college_nhs
2026-05-03 06:00:00,155,,,,GB,kings_college_nhs
2026-05-03 07:00:00,139,,,,GB,kings_college_nhs
2026-05-03 08:00:00,147,,,,GB,kings_college_nhs
2026-05-03 09:00:00,117,,,,GB,kings_college_nhs
2026-05-03 10:00:00,132,,,,GB,kings_college_nhs
2026-05-03 11:00:00,162,,,,GB,kings_college_nhs
2026-05-03 12:00:00,153,,,,GB,kings_college_nhs
2026-05-03 13:00:00,165,,,,GB,kings_college_nhs
2026-05-03 14:00:00,132,,,,GB,kings_college_nhs
2026-05-03 15:00:00,213,,,,GB,kings_college_nhs
2026-05-03 16:00:00,209,,,,GB,kings_college_nhs
2026-05-03 17:00:00,280,,,,GB,kings_college_nhs
2026-05-03 18:00:00,248,,,,GB,kings_college_nhs
2026-05-03 19:00:00,265,,,,GB,kings_college_nhs
2026-05-03 20:00:00,265,,,,GB,kings_college_nhs
2026-05-03 21:00:00,290,,,,GB,kings_college_nhs
2026-05-03 22:00:00,194,,,,GB,kings_college_nhs
2026-05-03 23:00:00,199,,,,GB,kings_college_nhs
2026-05-04 00:00:00,268,,,,GB,kings_college_nhs
2026-05-04 01:00:00,269,,,,GB,kings_college_nhs
2026-05-04 02:00:00,238,,,,GB,kings_college_nhs
2026-05-04 03:00:00,273,,,,GB,kings_college_nhs
2026-05-04 04:00:00,273,,,,GB,kings_college_nhs
2026-05-04 05:00:00,270,,,,GB,kings_college_nhs
2026-05-04 06:00:00,268,,,,GB,kings_college_nhs
2026-05-04 07:00:00,245,,,,GB,kings_college_nhs
2026-05-04 08:00:00,196,,,,GB,kings_college_nhs
2026-05-04 09:00:00,223,,,,GB,kings_college_nhs
2026-05-04 10:00:00,140,,,,GB,kings_college_nhs
2026-05-04 11:00:00,126,,,,GB,kings_college_nhs
2026-05-04 12:00:00,131,,,,GB,kings_college_nhs
2026-05-04 13:00:00,134,,,,GB,kings_college_nhs
2026-05-04 14:00:00,229,,,,GB,kings_college_nhs
2026-05-04 15:00:00,230,,,,GB,kings_college_nhs
2026-05-04 16:00:00,185,,,,GB,kings_college_nhs
2026-05-04 17:00:00,224,,,,GB,kings_college_nhs
2026-05-04 18:00:00,212,,,,GB,kings_college_nhs
2026-05-04 19:00:00,310,,,,GB,kings_college_nhs
2026-05-04 20:00:00,302,,,,GB,kings_college_nhs
2026-05-04 21:00:00,308,,,,GB,kings_college_nhs
2026-05-04 22:00:00,253,,,,GB,kings_college_nhs
2026-05-04 23:00:00,305,,,,GB,kings_college_nhs
2026-05-05 00:00:00,243,,,,GB,kings_college_nhs
2026-05-05 01:00:00,191,,,,GB,kings_college_nhs
2026-05-05 02:00:00,184,,,,GB,kings_college_nhs
2026-05-05 03:00:00,284,,,,GB,kings_college_nhs
2026-05-05 04:00:00,196,,,,GB,kings_college_nhs
2026-05-05 05:00:00,283,,,,GB,kings_college_nhs
2026-05-05 06:00:00,267,,,,GB,kings_college_nhs
2026-05-05 07:00:00,213,,,,GB,kings_college_nhs
2026-05-05 08:00:00,190,,,,GB,kings_college_nhs
2026-05-05 09:00:00,169,,,,GB,kings_college_nhs
2026-05-05 10:00:00,230,,,,GB,kings_college_nhs
2026-05-05 11:00:00,205,,,,GB,kings_college_nhs
2026-05-05 12:00:00,205,,,,GB,kings_college_nhs
