datetime,em_carbon_intensity_gco2_kwh,em_renewable_pct,em_fossil_pct,em_low_carbon_pct,em_zone,hospital
2026-05-02 18:00:00,268,,,,GB,manchester_nhs
2026-05-02 19:00:00,281,,,,GB,manchester_nhs
2026-05-02 20:00:00,288,,,,GB,manchester_nhs
2026-05-02 21:00:00,178,,,,GB,manchester_nhs
2026-05-02 22:00:00,233,,,,GB,manchester_nhs
2026-05-02 23:00:00,200,,,,GB,manchester_nhs
2026-05-03 00:00:00,153,,,,GB,manchester_nhs
2026-05-03 01:00:00,156,,,,GB,manchester_nhs
2026-05-03 02:00:00,136,,,,GB,manchester_nhs
2026-05-03 03:00:00,172,,,,GB,manchester_nhs
2026-05-03 04:00:00,144,,,,GB,manchester_nhs
2026-05-03 05:00:00,183,,,,GB,manchester_nhs
2026-05-03 06:00:00,155,,,,GB,manchester_nhs
2026-05-03 07:00:00,139,,,,GB,manchester_nhs
2026-05-03 08:00:00,147,,,,GB,manchester_nhs
2026-05-03 09:00:00,117,,,,GB,manchester_nhs
2026-05-03 10:00:00,132,,,,GB,manchester_nhs
2026-05-03 11:00:00,162,,,,GB,manchester_nhs
2026-05-03 12:00:00,153,,,,GB,manchester_nhs
2026-05-03 13:00:00,165,,,,GB,manchester_nhs
2026-05-03 14:00:00,132,,,,GB,manchester_nhs
2026-05-03 15:00:00,213,,,,GB,manchester_nhs
2026-05-03 16:00:00,209,,,,GB,manchester_nhs
2026-05-03 17:00:00,280,,,,GB,manchester_nhs
2026-05-03 18:00:00,248,,,,GB,manchester_nhs
2026-05-03 19:00:00,265,,,,GB,manchester_nhs
2026-05-03 20:00:00,265,,,,GB,manchester_nhs
2026-05-03 21:00:00,290,,,,GB,manchester_nhs
2026-05-03 22:00:00,194,,,,GB,manchester_nhs
2026-05-03 23:00:00,199,,,,GB,manchester_nhs
2026-05-04 00:00:00,268,,,,GB,manchester_nhs
2026-05-04 01:00:00,269,,,,GB,manchester_nhs
2026-05-04 02:00:00,238,,,,GB,manchester_nhs
2026-05-04 03:00:00,273,,,,GB,manchester_nhs
2026-05-04 04:00:00,273,,,,GB,manchester_nhs
2026-05-04 05:00:00,270,,,,GB,manchester_nhs
2026-05-04 06:00:00,268,,,,GB,manchester_nhs
2026-05-04 07:00:00,245,,,,GB,manchester_nhs
2026-05-04 08:00:00,196,,,,GB,manchester_nhs
2026-05-04 09:00:00,223,,,,GB,manchester_nhs
2026-05-04 10:00:00,140,,,,GB,manchester_nhs
2026-05-04 11:00:00,126,,,,GB,manchester_nhs
2026-05-04 12:00:00,131,,,,GB,manchester_nhs
2026-05-04 13:00:00,134,,,,GB,manchester_nhs
2026-05-04 14:00:00,229,,,,GB,manchester_nhs
2026-05-04 15:00:00,230,,,,GB,manchester_nhs
2026-05-04 16:00:00,185,,,,GB,manchester_nhs
2026-05-04 17:00:00,224,,,,GB,manchester_nhs
2026-05-04 18:00:00,212,,,,GB,manchester_nhs
2026-05-04 19:00:00,310,,,,GB,manchester_nhs
2026-05-04 20:00:00,302,,,,GB,manchester_nhs
2026-05-04 21:00:00,308,,,,GB,manchester_nhs
2026-05-04 22:00:00,253,,,,GB,manchester_nhs
2026-05-04 23:00:00,305,,,,GB,manchester_nhs
2026-05-05 00:00:00,243,,,,GB,manchester_nhs
2026-05-05 01:00:00,191,,,,GB,manchester_nhs
2026-05-05 02:00:00,184,,,,GB,manchester_nhs
2026-05-05 03:00:00,284,,,,GB,manchester_nhs
2026-05-05 04:00:00,196,,,,GB,manchester_nhs
2026-05-05 05:00:00,283,,,,GB,manchester_nhs
2026-05-05 06:00:00,267,,,,GB,manchester_nhs
2026-05-05 07:00:00,213,,,,GB,manchester_nhs
2026-05-05 08:00:00,190,,,,GB,manchester_nhs
2026-05-05 09:00:00,169,,,,GB,manchester_nhs
2026-05-05 10:00:00,230,,,,GB,manchester_nhs
2026-05-05 11:00:00,205,,,,GB,manchester_nhs
2026-05-05 12:00:00,205,,,,GB,manchester_nhs
